"","Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)","Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%)"
"Country"," 2019"," 2018"," 2017"," 2016"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"," 1999"," 1998"," 1997"," 1996"," 1995"," 1994"," 1993"," 1992"," 1991"," 1990"," 1989"," 1988"," 1987"," 1986"," 1985"," 1984"," 1983"," 1982"," 1981"," 1980"
"Afghanistan","64","64","64","64","63","60","57","59","64","62","60","59","55","53","50","48","39","35","37","27","31","31","38","42","41","40","25","22","19","20","22","34","31","14","14","14","9","8","","11"
"Albania","95","94","96","96","97","98","99","98","99","99","97","98","97","95","97","96","93","96","95","95","85","89","95","92","91","90","76","87","80","88","96","96","96","96","96","96","96","93","90","90"
"Algeria","80","80","88","94","95","95","95","95","95","95","92","88","92","91","83","81","84","81","83","80","83","84","92","90","89","88","87","86","85","83","82","81","73","67","68","","","","",""
"Andorra","99","99","99","97","96","96","95","98","99","99","98","98","94","91","94","98","96","98","97","97","97","90","90","","","","","","","","","","","","","","","","",""
"Angola","51","50","42","45","51","56","59","65","57","62","46","48","58","21","21","43","44","59","60","32","40","59","78","62","46","44","47","39","39","38","48","56","55","44","44","35","26","","",""
"Antigua and Barbuda","93","96","99","88","91","93","96","98","99","98","99","99","99","99","99","97","99","99","97","95","99","99","93","99","93","91","99","99","87","89","95","95","89","80","69","73","48","","",""
"Argentina","94","94","89","90","89","95","94","94","95","95","96","96","94","97","98","99","97","95","89","91","97","95","93","99","99","96","95","92","99","93","89","87","80","87","54","79","67","67","77","61"
"Armenia","95","95","96","97","97","97","97","97","97","97","96","94","92","92","94","92","94","91","93","92","92","94","92","89","96","95","95","93","","","","","","","","","","","",""
"Australia","95","95","95","95","95","94","94","94","94","94","94","94","94","94","94","94","94","94","92","91","88","82","85","87","87","86","86","86","86","86","85","77","68","68","68","68","68","","",""
"Austria","94","94","96","95","96","96","92","88","84","80","76","83","79","80","75","74","79","78","79","75","65","78","90","87","60","60","60","60","60","60","60","60","60","60","40","30","25","25","25",""
"Azerbaijan","98","96","98","98","98","98","98","94","92","89","85","79","75","69","67","67","67","66","68","67","68","67","66","65","64","60","49","52","","","","","","","","","","","",""
"Bahamas","85","89","90","89","94","92","92","91","90","94","98","90","96","88","85","89","90","94","94","93","86","92","93","92","90","88","88","94","93","86","87","78","87","85","79","63","66","65","",""
"Bahrain","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","98","98","94","99","94","95","95","93","90","87","88","87","85","78","78","78","78","65","59","54","50","45"
"Bangladesh","97","97","97","97","97","94","91","88","93","88","93","92","89","83","88","81","76","75","77","74","71","71","72","69","79","78","74","69","68","65","53","13","6","3","1","1","1","1","",""
"Barbados","92","85","92","92","96","95","87","90","93","85","94","94","75","92","93","98","90","91","93","94","86","97","92","99","92","97","92","90","92","87","85","84","85","84","88","84","55","53","47","41"
"Belarus","98","98","97","98","99","99","99","98","99","99","99","99","99","97","99","99","99","99","99","98","98","98","97","96","93","97","96","94","","","","","","","","","","","",""
